hour,cex_inflow_usd,cex_outflow_usd,cex_tx_count,inst_inflow_usd,inst_outflow_usd,inst_tx_count,stable_inflow_usd,stable_outflow_usd,stable_tx_count
2024-01-07 02:00:00.000 UTC,32306080.65811816,50065306.85101511,9051,93469.54111020484,19816.50667704555,25,13861941.398981048,24815996.025674976,1498
2024-01-07 03:00:00.000 UTC,92564088.43891317,74973633.64924376,8084,938349.5862971405,7863416.2964422135,28,48739196.950419605,29422782.4227889,1378
2024-01-07 04:00:00.000 UTC,129401652.30889218,103121694.27991444,7292,1203894.5335847135,858.8419183768063,31,45525012.19418061,39473467.84708754,1173
2024-01-07 05:00:00.000 UTC,80563878.18851312,93229877.81287812,9201,270915.79037659185,55212.49942039305,40,57047805.120582156,56844990.631701715,2132
2024-01-07 06:00:00.000 UTC,55423162.465194955,82126743.06064929,7500,304702.58359828714,24734.826588717533,53,31508450.0680649,55779606.208238125,1385
2024-01-07 07:00:00.000 UTC,50409934.952852115,55935609.929954946,8162,304296.08178072923,20135.78027192251,46,19957045.547729302,16538088.756166637,1361
2024-01-07 08:00:00.000 UTC,117192651.02647024,123619060.1817428,8524,103304.5249696017,6581.373987038546,36,81526686.77277593,84601063.88280547,1586
2024-01-07 09:00:00.000 UTC,72075496.05779976,82983080.66341317,9019,48586.11938291524,713976.3893739579,27,33342308.846103173,38985577.226793215,1827
2024-01-07 10:00:00.000 UTC,44101708.61660168,40770617.109086044,9159,113819.24022966943,87993.39258265827,38,25889915.002500486,17677114.314913865,1964
2024-01-07 11:00:00.000 UTC,143984288.18120444,173332424.5336414,10406,3118136.521541466,70756.51923842005,44,15688131.450891318,26904223.389205776,2081
2024-01-07 12:00:00.000 UTC,118729742.7154381,100191915.46941477,10748,1174611.907904931,3757904.202110753,44,80065195.39657094,46050410.187664405,2196
2024-01-07 13:00:00.000 UTC,81563457.31547923,92159221.20578696,11750,994818.4191362383,314081.6088747174,47,44387487.630741015,46900060.17377665,2452
2024-01-07 14:00:00.000 UTC,85904915.84374058,83176157.13554148,12566,182540.94068645683,105566.26903825809,54,43976261.1555827,31969691.526763823,2537
2024-01-07 15:00:00.000 UTC,57850741.49916222,80626236.33818641,12508,381253.11454378633,588165.5630216133,46,29610520.19206092,35466201.86048988,2519
2024-01-07 16:00:00.000 UTC,95141727.60812594,96470709.2689571,12443,113693.09213423029,2624396.904805072,43,66674994.249642305,58089419.5255214,2486
2024-01-07 17:00:00.000 UTC,98847377.97088543,122628714.2904823,12257,15840713.308059879,167514.92669537017,34,36665093.16730004,61221147.141472615,2354
2024-01-07 18:00:00.000 UTC,163409521.34042332,171060808.15201005,10712,131459.0903641245,14287.474938214553,33,133370922.67692272,139308273.5160125,2230
